province,district_number,candidate_no,candidate_name,party,votes,drive_id,drive_url
นครสวรรค์,3,5,นายสัญญา นิลสุพรรณ,กล้าธรรม,53454,1hy0aZho3Rv-a9px7yCAtGixBZtaVRik7,https://drive.google.com/file/d/1hy0aZho3Rv-a9px7yCAtGixBZtaVRik7/view
นครสวรรค์,4,2,นายมารุต ศรีผึ้ง,ภูมิใจไทย,55825,17K2dSvPjYBkYzbpp9sxyT0J3gkn7ozLg,https://drive.google.com/file/d/17K2dSvPjYBkYzbpp9sxyT0J3gkn7ozLg/view
นครสวรรค์,5,4,นายพีระเดช ศิริวันสาณฑ์,ภูมิใจไทย,61430,1KSqn1EuT5q8_V6uv0HNH5iDAB0zJLA8h,https://drive.google.com/file/d/1KSqn1EuT5q8_V6uv0HNH5iDAB0zJLA8h/view
นครสวรรค์,6,2,นายประสาท ตันประเสริฐ,ภูมิใจไทย,36543,1qhWED0oyJfSinVEjH6suAHzDcEROYq9q,https://drive.google.com/file/d/1qhWED0oyJfSinVEjH6suAHzDcEROYq9q/view
นนทบุรี,1,8,นายวุฒากร นุตยกุล,ประชาชน,42123,1oJwJto4YpUhJSSYzM2eXhAUGQR0uerju,https://drive.google.com/file/d/1oJwJto4YpUhJSSYzM2eXhAUGQR0uerju/view
นนทบุรี,2,7,นางปัญญารัตน์ นันทภูษิตานนท์,ประชาชน,38013,1myXUDrrf9kCSnt4RAoYyP8UJYjalqalX,https://drive.google.com/file/d/1myXUDrrf9kCSnt4RAoYyP8UJYjalqalX/view
นนทบุรี,3,7,นายอนุสรณ์ แก้ววิเชียร,ประชาชน,47405,1UTdMPQ_1aUFOqo-4QgtQ2dUtxAypjbUO,https://drive.google.com/file/d/1UTdMPQ_1aUFOqo-4QgtQ2dUtxAypjbUO/view
นนทบุรี,4,2,นายกรณ์ มีดี,ประชาชน,33461,1OFVDpp7H4PdU_C6NZL8GWkHcCVi6yTYl,https://drive.google.com/file/d/1OFVDpp7H4PdU_C6NZL8GWkHcCVi6yTYl/view
นนทบุรี,5,8,นายปรีติ เจริญศิลป์,ประชาชน,41888,1kw3q6E6Jk_F_Lb4LGt_g3sjGCarIpsv1,https://drive.google.com/file/d/1kw3q6E6Jk_F_Lb4LGt_g3sjGCarIpsv1/view
นนทบุรี,6,4,นายสุทัศน์ มีศิริ,ประชาชน,44405,1A3Bd-NMdEFtIljMRpAMp98JHq0Xpija5,https://drive.google.com/file/d/1A3Bd-NMdEFtIljMRpAMp98JHq0Xpija5/view
