province,district,election_type,drive_id,extracted_valid,weak_summary,ref_valid,delta_valid_vs_killernay,exact_killernay
กาญจนบุรี,3,constituency,15OKzVH_AbuDuJ-ObFxu_V1w7xAGKPY3G,107950.0,False,107950.0,0.0,True
กาญจนบุรี,3,party_list,14qb8aMSCsjS4fm8mQyivUJ1x5vq8tylC,104226.0,False,104226.0,0.0,True
กาญจนบุรี,4,constituency,1dw2JDU-eVt8_4NvbH3qpTOlY90oWNsgV,82897.0,False,82897.0,0.0,True
กาญจนบุรี,4,party_list,13F8T5iVN7UE57wGN5AQazEk6CT4xi5Gu,82014.0,False,82014.0,0.0,True
กาญจนบุรี,5,constituency,15BcN6nm4R5E2beE5QxzweMxEwRuWhKAx,82962.0,False,82962.0,0.0,True
กาญจนบุรี,5,party_list,1U_kPgLO62RM59xsyHlEVsTyM3AyIia9N,81443.0,False,81443.0,0.0,True
กาฬสินธุ์,1,constituency,1zyrX9yI2WDi4GVmDKDN_1krGBRIeIugv,83744.0,False,83744.0,0.0,True
กาฬสินธุ์,1,party_list,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,83229.0,False,82880.0,349.0,False
กาฬสินธุ์,2,constituency,1W15Zq7awfjPWG12O4wEcU7-QwD7iaG4l,76321.0,False,76321.0,0.0,True
กาฬสินธุ์,2,party_list,1-qhBuVRvuhNbIxJt4AhgzV2BObfB_nca,76444.0,False,76444.0,0.0,True
กาฬสินธุ์,3,constituency,1mGtSJULd1IlNZNXY86WOMVyeP4csLOec,78033.0,False,78033.0,0.0,True
กาฬสินธุ์,3,party_list,1scigaTGzKtvzU6hDn47aEOAaUu3HrkXn,75717.0,False,75717.0,0.0,True
กาฬสินธุ์,4,constituency,19W7Wze7o2z5WDi1Js-RXaCWVLU8h_jGb,85649.0,False,85649.0,0.0,True
กาฬสินธุ์,4,party_list,18oshrxx8LV1eCCZnZDDkbcpGqeh8o5R3,83586.0,False,83586.0,0.0,True
กาฬสินธุ์,5,constituency,1peRDABTfr2gyblRFtUuLwDL2SBW-2kLF,89758.0,False,89758.0,0.0,True
กาฬสินธุ์,5,party_list,1QXgR7tupgFj4HiFQ4y2rE138sFh0JkFk,87638.0,False,87638.0,0.0,True
กาฬสินธุ์,6,constituency,1dcth62P1ypYEi_oTtzWh8Y3ryEUBeeGH,91466.0,False,91466.0,0.0,True
กาฬสินธุ์,6,party_list,1LOXrlcTzHEdcyCJA58DKqTv6JkgiQQfL,89550.0,False,89550.0,0.0,True
กำแพงเพชร,1,constituency,12AJd0tUDsyw6IaIl7E9G0wd20kywfnRy,90911.0,False,90911.0,0.0,True
กำแพงเพชร,1,party_list,1TAumYeeAL79Wyq640wH6KguHuGvVs0a_,91264.0,False,91264.0,0.0,True
กำแพงเพชร,2,constituency,1NIluGKk9rkWbP9EtYpEE6cC6PHx_y_Bw,97504.0,False,97504.0,0.0,True
กำแพงเพชร,2,party_list,1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp,94653.0,False,94653.0,0.0,True
กำแพงเพชร,3,constituency,12fpaLotgxlIDzg44Qn4K58pKJQVrFhN5,83994.0,False,83994.0,0.0,True
กำแพงเพชร,3,party_list,1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN,81932.0,False,81932.0,0.0,True
กำแพงเพชร,4,constituency,1g6GPyxzpYNmhj6M3Y5aeHvsXQRajqtpy,86283.0,False,86283.0,0.0,True
กำแพงเพชร,4,party_list,1tmoq6JvFw7LtiKE5iVCmlgqH-8po_8B_,84498.0,False,84498.0,0.0,True
ขอนแก่น,1,constituency,1omeFP2AmW4UZ-nzTDIz2OMKRemMyoVnX,83007.0,False,83007.0,0.0,True
ขอนแก่น,1,party_list,1-3BkUb0iiE6ld1rCzofaIaYZOKmU-jGs,85337.0,False,85337.0,0.0,True
ขอนแก่น,2,constituency,1o7M5eV-xVDybAPMEGW8zB2fNpetFFjEj,96299.0,False,96299.0,0.0,True
ขอนแก่น,2,party_list,1pbqyfJc3osHAzdyz40u7ORu-ck8aPzJe,98548.0,False,98548.0,0.0,True
ขอนแก่น,3,constituency,1uhLo9KDViWMLVbHNT7VtClNlFY2tMwio,84748.0,False,84748.0,0.0,True
ขอนแก่น,3,party_list,16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS,84521.0,False,84521.0,0.0,True
ขอนแก่น,4,constituency,1NdMSu0P6NSIap-c7ZMbMxRJaRFU5wWEu,90702.0,False,90702.0,0.0,True
ขอนแก่น,4,party_list,1rpXuurv9vkRqRTlAwAIubI1XjE2p0blv,88920.0,False,88920.0,0.0,True
ขอนแก่น,5,constituency,1XHTpaTferlNSVC_8klXkUOvIA7Zju4hT,81109.0,False,81109.0,0.0,True
ขอนแก่น,5,party_list,1FTItBZdrfML1IGKwpbhsr4blphBpdM17,79025.0,False,79025.0,0.0,True
ขอนแก่น,6,constituency,1ars2_Oam6a7GjyXeFfjW2G5kBhAGecX8,79916.0,False,79916.0,0.0,True
ขอนแก่น,6,party_list,1mcQlzshoDrUGCmcQtFfWoret_agpIARx,79070.0,False,79070.0,0.0,True
ขอนแก่น,7,constituency,1aS2cnm3TZTxzaaqOfU0fg_vhHjwNl5lz,83207.0,False,83207.0,0.0,True
ขอนแก่น,7,party_list,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,83183.0,False,83257.0,-74.0,False
ขอนแก่น,8,constituency,1_bFGWp1va2Ei4lhSGRgCwubqatmZ3tlU,89683.0,False,89683.0,0.0,True
ขอนแก่น,8,party_list,1Yby3ciXDcsh8AegFYAIfLFP97rjeLBkz,89655.0,False,89655.0,0.0,True
ขอนแก่น,9,constituency,1J203qZwj8n27Wla6qa3tij7xtXKOOqR2,81101.0,False,81101.0,0.0,True
ขอนแก่น,9,party_list,1wBY1b8jpU2qZ4mr3IlOU2VIUDJWGICqx,80096.0,False,80096.0,0.0,True
ขอนแก่น,10,constituency,1-HL5orOff1JDiAKmv1bXQCeVDHlZDh3x,83757.0,False,83757.0,0.0,True
ขอนแก่น,10,party_list,1ZBmyKCeKZkJzCWu6IhV-lkZyQpOj8o2h,83642.0,False,83642.0,0.0,True
ขอนแก่น,11,constituency,1wwIP0vHZhfxPATiI8EDPkIqNsiWgSqPx,76313.0,False,76313.0,0.0,True
ขอนแก่น,11,party_list,1aGWSG4Edoqrjz2etRM7Rh8cYErpCKdu2,76425.0,False,76425.0,0.0,True
จันทบุรี,1,constituency,10QmKjO9I2zkIiL3J0Xg8ZWk-dDBLodBa,100866.0,False,100866.0,0.0,True
จันทบุรี,1,party_list,1we1xnjYFLzuZwqa8ot94inj6gMYaUK-b,100429.0,False,100429.0,0.0,True
จันทบุรี,2,constituency,1e0BgFUS24GdSS3kuL0GAbsvNhfj8oEI4,91807.0,False,91807.0,0.0,True
จันทบุรี,2,party_list,15_Opsc7LikcO6Ib8l9Ie3HsG3LWC46w8,91950.0,False,91950.0,0.0,True
จันทบุรี,3,constituency,1RmxW3WC99vrsuZw-KNd7J1ZQKDD6cuLD,91176.0,False,91176.0,0.0,True
จันทบุรี,3,party_list,1rAt7qS4bvBp9dqFsn4xHKCZImcx5jhen,90597.0,False,90597.0,0.0,True
ฉะเชิงเทรา,1,constituency,14Nw6SyLQ-9VSM9rpTBrZWAM46Z2MDl6F,96004.0,False,96004.0,0.0,True
ฉะเชิงเทรา,1,party_list,14623oa9bPQ46Mbuy6l5CeotpUk-jXv0U,100617.0,False,100617.0,0.0,True
ฉะเชิงเทรา,2,constituency,1BQ83KRX2Zdy-2e3Ysu7g7nrPGKKwjtdL,109828.0,False,109828.0,0.0,True
ฉะเชิงเทรา,2,party_list,1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP,107806.0,False,107806.0,0.0,True
ฉะเชิงเทรา,3,constituency,1ihcB95g1ULPyw4FR5SsANWy9MsNwNv28,93753.0,False,93753.0,0.0,True
ฉะเชิงเทรา,3,party_list,1zY_YsKeZV5bXpsA2NFXFGRbo5ZicUIPi,94168.0,False,94168.0,0.0,True
ฉะเชิงเทรา,4,constituency,1aJDY6jDoR5-QBmd5Lcxns97DgUHXiqW2,112107.0,False,112107.0,0.0,True
ฉะเชิงเทรา,4,party_list,1xajRSvEBoBkD7humpCQaUJw75_FogcyQ,111464.0,False,111464.0,0.0,True
ชลบุรี,1,constituency,1o4aTepSQFEnoRV4owjzj0KXLy3C1aDeE,97585.0,False,97585.0,0.0,True
ชลบุรี,1,party_list,1RPliZCYMtid_66mMSptogZ2Ov7vLEEI6,98214.0,False,98214.0,0.0,True
ชลบุรี,2,constituency,1UHrjDPOpmNm04LV-p1CZqY1GdUWGkJCh,78825.0,False,78825.0,0.0,True
ชลบุรี,2,party_list,1fFegyikuWkk4jnavpt1-dCK-CkokPu1M,79159.0,False,79159.0,0.0,True
