province,district_number,diff,abs_diff,const_total,party_total,const_valid,const_invalid,const_blank,party_valid,party_invalid,party_blank,killernay_diff,const_drive_id,party_drive_id,const_url,party_url
กำแพงเพชร,1,-3,3,101439,101442,90911,5247,5281,91168,6367,3907,270,12AJd0tUDsyw6IaIl7E9G0wd20kywfnRy,1TAumYeeAL79Wyq640wH6KguHuGvVs0a_,https://drive.google.com/file/d/12AJd0tUDsyw6IaIl7E9G0wd20kywfnRy/view,https://drive.google.com/file/d/1TAumYeeAL79Wyq640wH6KguHuGvVs0a_/view
พัทลุง,3,3,3,116554,116551,108849,3271,4434,110884,3653,2014,0,11KaeoKS59Mlfiw_H5a2HFGYBEGbf5cyj,1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J,https://drive.google.com/file/d/11KaeoKS59Mlfiw_H5a2HFGYBEGbf5cyj/view,https://drive.google.com/file/d/1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J/view
อุบลราชธานี,1,-3,3,99448,99451,87991,4184,7273,92206,3139,4106,-3,1dSPVtLDJgCtYucK2orDqxQnJITODrR7C,1aGNukCcE7IB8YF6mX9MuO1NRUqz7cWm3,https://drive.google.com/file/d/1dSPVtLDJgCtYucK2orDqxQnJITODrR7C/view,https://drive.google.com/file/d/1aGNukCcE7IB8YF6mX9MuO1NRUqz7cWm3/view
เชียงราย,7,3,3,97669,97666,89036,4487,4146,88463,5624,3579,3,1sk0nGrprl5Fy6Kyz5o_R6NlE24eZyMYr,1zV7htOTRpIS9aiXfAFIIXzycjFD1Dlng,https://drive.google.com/file/d/1sk0nGrprl5Fy6Kyz5o_R6NlE24eZyMYr/view,https://drive.google.com/file/d/1zV7htOTRpIS9aiXfAFIIXzycjFD1Dlng/view
กรุงเทพมหานคร,18,-2,2,87055,87057,80204,1421,5430,82064,2230,2763,-2,1b62sjGfa-FTcRNvMPwYuLqpVeFlzcAo1,1B-qW1g5qi4Dz0uW9K2vTzZthRzdDX1zr,https://drive.google.com/file/d/1b62sjGfa-FTcRNvMPwYuLqpVeFlzcAo1/view,https://drive.google.com/file/d/1B-qW1g5qi4Dz0uW9K2vTzZthRzdDX1zr/view
ชลบุรี,1,-2,2,104344,104346,97585,2237,4522,98214,3108,3024,0,1o4aTepSQFEnoRV4owjzj0KXLy3C1aDeE,1RPliZCYMtid_66mMSptogZ2Ov7vLEEI6,https://drive.google.com/file/d/1o4aTepSQFEnoRV4owjzj0KXLy3C1aDeE/view,https://drive.google.com/file/d/1RPliZCYMtid_66mMSptogZ2Ov7vLEEI6/view
ชัยภูมิ,5,2,2,89483,89481,85450,2651,1382,82473,5362,1646,2,125RIB2Ciq737IO4Ckk0nWl9b_Kp5HbTs,13djW1mz6PEw7f_u6ihBAg-t9p_wZa8td,https://drive.google.com/file/d/125RIB2Ciq737IO4Ckk0nWl9b_Kp5HbTs/view,https://drive.google.com/file/d/13djW1mz6PEw7f_u6ihBAg-t9p_wZa8td/view
ชัยภูมิ,6,2,2,89261,89259,83346,3852,2063,81810,5691,1758,2,1GnOyv-oSuWPFvD6AXMw3iZwItrlh1xfV,1Vt_fecvJV-0GxOXqS7u7fdVC_OIpQq3M,https://drive.google.com/file/d/1GnOyv-oSuWPFvD6AXMw3iZwItrlh1xfV/view,https://drive.google.com/file/d/1Vt_fecvJV-0GxOXqS7u7fdVC_OIpQq3M/view
นครราชสีมา,5,-2,2,95129,95131,87644,3871,3614,86005,5849,3277,-2,1K2bZs0qeA8LjtbbzGOSo4BJAj_4c6259,1nXv-7fapX3DrukXugwLjO8DEs9Z3LcpT,https://drive.google.com/file/d/1K2bZs0qeA8LjtbbzGOSo4BJAj_4c6259/view,https://drive.google.com/file/d/1nXv-7fapX3DrukXugwLjO8DEs9Z3LcpT/view
ปทุมธานี,4,-2,2,98894,98896,90836,2539,5519,93513,2473,2910,-2,1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01,177-QHCBiE1ELj_R8926C_W0MIjNwPAlP,https://drive.google.com/file/d/1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01/view,https://drive.google.com/file/d/177-QHCBiE1ELj_R8926C_W0MIjNwPAlP/view
ปัตตานี,4,-2,2,83822,83824,80409,2222,1191,78483,4144,1197,-2,16wAGqiS1-g0wzYu27egDhZQjxXfOK4zZ,1wF_5aY1YXUEK5ty80x5S6ukGsMULAkPE,https://drive.google.com/file/d/16wAGqiS1-g0wzYu27egDhZQjxXfOK4zZ/view,https://drive.google.com/file/d/1wF_5aY1YXUEK5ty80x5S6ukGsMULAkPE/view
ร้อยเอ็ด,6,2,2,81281,81279,76554,3087,1640,76819,3194,1266,2,1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v,1NkTJIcpUBR25oXdGr2MUON17K0NHGf8M,https://drive.google.com/file/d/1MY8F_fKTLk0F7HsQ-D7TTOEmpTNWl28v/view,https://drive.google.com/file/d/1NkTJIcpUBR25oXdGr2MUON17K0NHGf8M/view
ศรีสะเกษ,1,2,2,98770,98768,94666,2365,1739,92842,4099,1827,2,14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5,1S9e09zh-G6MWcgjyIX5TZf6hRA_lfKQ-,https://drive.google.com/file/d/14TXAj8mlYfj2zdCWQEuVs1kGLmw06_O5/view,https://drive.google.com/file/d/1S9e09zh-G6MWcgjyIX5TZf6hRA_lfKQ-/view
สงขลา,2,-2,2,82759,82761,78663,1411,2685,78784,1830,2147,-2,1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu,1r95PtNsL8GoURxEzyjRLM75O19CDovW9,https://drive.google.com/file/d/1Nh8zcREMw2k0XXfgUaPdavBZt0wlGXuu/view,https://drive.google.com/file/d/1r95PtNsL8GoURxEzyjRLM75O19CDovW9/view
สมุทรสาคร,3,-2,2,81870,81872,74704,3218,3948,76687,2506,2679,-1,1bVHvtNcyLjVUpy1umAi6MBavHHefs6Ae,116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i,https://drive.google.com/file/d/1bVHvtNcyLjVUpy1umAi6MBavHHefs6Ae/view,https://drive.google.com/file/d/116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i/view
สุรินทร์,2,2,2,95003,95001,89433,3061,2509,88367,4756,1878,2,16rtG2IsqSAOKHBFWhLvUnjTrtbpRwmJF,1IC1nGO3pebf3RIC6qYuSowi_ynyeUQ8P,https://drive.google.com/file/d/16rtG2IsqSAOKHBFWhLvUnjTrtbpRwmJF/view,https://drive.google.com/file/d/1IC1nGO3pebf3RIC6qYuSowi_ynyeUQ8P/view
อำนาจเจริญ,1,2,2,97677,97675,91024,2940,3713,91168,4066,2441,2,1NnhGbJYoLzQArnPxF3PuqTgIgsMnPNAo,13riUCR8lfuUO3nU9N41PmicYVHNWMOVI,https://drive.google.com/file/d/1NnhGbJYoLzQArnPxF3PuqTgIgsMnPNAo/view,https://drive.google.com/file/d/13riUCR8lfuUO3nU9N41PmicYVHNWMOVI/view
อุดรธานี,3,2,2,79802,79800,75808,2548,1446,74655,4002,1143,2,1ZWF0Dwxt3pkyjSF-lVZulTwVDn_neaqe,1wPIoTLIqXsWSjcsokmNKf6WBBW5OBeUb,https://drive.google.com/file/d/1ZWF0Dwxt3pkyjSF-lVZulTwVDn_neaqe/view,https://drive.google.com/file/d/1wPIoTLIqXsWSjcsokmNKf6WBBW5OBeUb/view
อ่างทอง,2,2,2,86378,86376,79838,3301,3239,78264,5357,2755,0,1ji_kd6b3ETWy-Q-7UgbEMiDRMaYml3AA,1lVNzUv0nyPdUfU7bLnPf9JHx_AOgls0i,https://drive.google.com/file/d/1ji_kd6b3ETWy-Q-7UgbEMiDRMaYml3AA/view,https://drive.google.com/file/d/1lVNzUv0nyPdUfU7bLnPf9JHx_AOgls0i/view
เชียงราย,6,-2,2,85892,85894,76481,5544,3867,78227,4825,2842,-2,1eYovEvqkmUziQeMYO3Ce370rkRbnK1ck,1JRMFDXP32gdC5_vUSbC12xESm6NkclUt,https://drive.google.com/file/d/1eYovEvqkmUziQeMYO3Ce370rkRbnK1ck/view,https://drive.google.com/file/d/1JRMFDXP32gdC5_vUSbC12xESm6NkclUt/view
เชียงใหม่,3,-2,2,111503,111505,99756,3901,7846,102183,4359,4963,-2,1cesVQQS5tzwyRw67_TOchEINSZc-XDmU,1qR-n-gNZNsHVYe8G2qXHo0hdB4xNVBqG,https://drive.google.com/file/d/1cesVQQS5tzwyRw67_TOchEINSZc-XDmU/view,https://drive.google.com/file/d/1qR-n-gNZNsHVYe8G2qXHo0hdB4xNVBqG/view
กระบี่,1,1,1,97431,97430,90061,2723,4647,91354,3424,2652,1,1oGYn79Mr7OqXb2I7JFmy1Y3YhtNda7mN,1tmEswtv_et-SilrPhGMrADBYgb7o7FAF,https://drive.google.com/file/d/1oGYn79Mr7OqXb2I7JFmy1Y3YhtNda7mN/view,https://drive.google.com/file/d/1tmEswtv_et-SilrPhGMrADBYgb7o7FAF/view
กรุงเทพมหานคร,4,-1,1,82947,82948,77982,1472,3493,79302,1703,1943,-1,1JxW3LXY1b4DjkSHoN1mgZlWjq5pVLRAY,11TtqKq_g89uBA4QUWeYEpWMa-2RCvWWY,https://drive.google.com/file/d/1JxW3LXY1b4DjkSHoN1mgZlWjq5pVLRAY/view,https://drive.google.com/file/d/11TtqKq_g89uBA4QUWeYEpWMa-2RCvWWY/view
กรุงเทพมหานคร,6,-1,1,100871,100872,94391,1412,5068,96499,1835,2538,-1,1HVBCILZX94fkIhkOjOX5nliBfcw4nwTF,1bpWv-h95Kofiy5QSxIdC1Efp4HCK0E9S,https://drive.google.com/file/d/1HVBCILZX94fkIhkOjOX5nliBfcw4nwTF/view,https://drive.google.com/file/d/1bpWv-h95Kofiy5QSxIdC1Efp4HCK0E9S/view
กรุงเทพมหานคร,10,1,1,99657,99656,91913,1521,6223,94890,1779,2987,1,1AIZIgOpf-7FHKnwxzEkzGJNUciJe7AE7,1zURCYs0SFfMzjT0Xg01FdcTscegnSRLd,https://drive.google.com/file/d/1AIZIgOpf-7FHKnwxzEkzGJNUciJe7AE7/view,https://drive.google.com/file/d/1zURCYs0SFfMzjT0Xg01FdcTscegnSRLd/view
กรุงเทพมหานคร,16,1,1,100557,100556,94218,1438,4901,96550,1437,2569,1,1e4v-9wAYX_S3FW8uShYaypKDcU12uS99,1_STcC_HfWQ0wkfOICppfZ34_pRlKx5E5,https://drive.google.com/file/d/1e4v-9wAYX_S3FW8uShYaypKDcU12uS99/view,https://drive.google.com/file/d/1_STcC_HfWQ0wkfOICppfZ34_pRlKx5E5/view
