rank,province,district,election_type,drive_id,delta_read_minus_killernay,read_valid,killernay_valid,ect_valid,vote62_valid,verdict,reason,reread_valid_votes,reread_support,drive_url
18,สุราษฎร์ธานี,4,party_list,14rlLfimeAkhgDAP6dERIF1Xh4sxyqTpB,260,94658,94398,87059,724,lean_killernay_correct_vs_vote62,killernay closer to vote62 (93674 vs 93934),94398,supports_killernay,https://drive.google.com/file/d/14rlLfimeAkhgDAP6dERIF1Xh4sxyqTpB/view
19,ปราจีนบุรี,3,party_list,1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC,-232,84661,84525,77567,0,lean_killernay_correct_vs_vote62,killernay closer to vote62 (84525 vs 84661),,,https://drive.google.com/file/d/1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC/view
20,ขอนแก่น,3,party_list,16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS,190,84711,84521,77806,275,lean_killernay_correct_vs_vote62,killernay closer to vote62 (84246 vs 84436),84521,supports_killernay,https://drive.google.com/file/d/16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS/view
21,อุทัยธานี,1,party_list,14EWe6kmIMSYqtDLu6JUQYColK1iqbM61,-171,77398,77569,69199,560,lean_our_correct_vs_vote62,read closer to vote62 (76838 vs 77009),77569,supports_killernay,https://drive.google.com/file/d/14EWe6kmIMSYqtDLu6JUQYColK1iqbM61/view
22,สงขลา,4,party_list,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,-170,95657,95194,91837,1825,lean_killernay_correct_vs_vote62,killernay closer to vote62 (93369 vs 93832),95827,third_value,https://drive.google.com/file/d/1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1/view
23,น่าน,3,party_list,1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj,-132,81152,81284,67711,,needs_manual,requires document re-read,,,https://drive.google.com/file/d/1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj/view
24,ชัยภูมิ,1,party_list,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,122,81150,81028,13835,279,lean_killernay_correct_vs_vote62,killernay closer to vote62 (80749 vs 80871),81337,third_value,https://drive.google.com/file/d/1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o/view
25,เชียงใหม่,5,party_list,13v3hfBdvYyH5DEi2oyBlMk01294puZa8,-107,93274,93381,82487,2088,lean_our_correct_vs_vote62,read closer to vote62 (91186 vs 91293),,,https://drive.google.com/file/d/13v3hfBdvYyH5DEi2oyBlMk01294puZa8/view
26,กรุงเทพมหานคร,28,party_list,1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW,-106,94506,94612,71197,3087,lean_our_correct_vs_vote62,read closer to vote62 (91419 vs 91525),,,https://drive.google.com/file/d/1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW/view
27,ยโสธร,2,party_list,1_3dCeVrcsmSIH9JdzPl6MVV-H5k3cMJo,-102,89109,89211,79014,477,lean_our_correct_vs_vote62,read closer to vote62 (88632 vs 88734),,,https://drive.google.com/file/d/1_3dCeVrcsmSIH9JdzPl6MVV-H5k3cMJo/view
28,กรุงเทพมหานคร,33,constituency,1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI,100,94516,94416,83494,,needs_manual,requires document re-read,94416,supports_killernay,https://drive.google.com/file/d/1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI/view
29,กำแพงเพชร,2,party_list,1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp,100,94753,94653,88626,1736,lean_killernay_correct_vs_vote62,killernay closer to vote62 (92917 vs 93017),,,https://drive.google.com/file/d/1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp/view
30,ตราด,1,party_list,1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo,100,115046,114946,104438,720,lean_killernay_correct_vs_vote62,killernay closer to vote62 (114226 vs 114326),,,https://drive.google.com/file/d/1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo/view
