province,district_number,drive_id,drive_url,name,parse_status,valid_votes,invalid_votes,blank_votes,row_count
ศรีสะเกษ,1,1Nhmm4cQyG18aFhNa0AXoeq5M9ImHRhj1,https://drive.google.com/file/d/1Nhmm4cQyG18aFhNa0AXoeq5M9ImHRhj1/view,6.pdf,no-forms,,,,0
เชียงราย,6,1O5HW_si4dnxk8qp0f1TGp3YRpp2TOkzq,https://drive.google.com/file/d/1O5HW_si4dnxk8qp0f1TGp3YRpp2TOkzq/view,06-แม่สาย-เวียงพางคำ (บช).pdf,no-forms,,,,0
ขอนแก่น,2,1Ol8ox8UYiElONHeg1j6bfQYvV02jN-Q5,https://drive.google.com/file/d/1Ol8ox8UYiElONHeg1j6bfQYvV02jN-Q5/view,ประชามติ 9.pdf,no-forms,,,,0
ขอนแก่น,2,1PbFBVAHQzHhqVyQTTyUMUcgIuU2dqnDE,https://drive.google.com/file/d/1PbFBVAHQzHhqVyQTTyUMUcgIuU2dqnDE/view,เขต 2 ชุด 4.pdf,no-forms,,,,0
ขอนแก่น,2,1PghnQWSeBqSUhZb8X7SoQTWxL8gJABDd,https://drive.google.com/file/d/1PghnQWSeBqSUhZb8X7SoQTWxL8gJABDd/view,ประชามติ 1.pdf,no-forms,,,,0
ขอนแก่น,2,1PwfsZK1z6j_6V08ElMDWWNFBU80iQcNs,https://drive.google.com/file/d/1PwfsZK1z6j_6V08ElMDWWNFBU80iQcNs/view,ประชามติ 4.pdf,no-forms,,,,0
เชียงใหม่,1,1PKoxfh4tPLohrl3rP9Sflj-6uHM34rIA,https://drive.google.com/file/d/1PKoxfh4tPLohrl3rP9Sflj-6uHM34rIA/view,ต.ศรีภูมิ (สส 5-18).pdf,no-forms,,,,0
ขอนแก่น,2,1QggZPTMVjbVJAgDrEdypbftTqRuvSVr2,https://drive.google.com/file/d/1QggZPTMVjbVJAgDrEdypbftTqRuvSVr2/view,ประชามติ 2.pdf,no-forms,,,,0
ศรีสะเกษ,1,1QPRdXGsaySlP-acL6TSyTlsdz1_2WJHt,https://drive.google.com/file/d/1QPRdXGsaySlP-acL6TSyTlsdz1_2WJHt/view,3.pdf,no-forms,,,,0
ขอนแก่น,2,1R00mKyh4ktQ0cZRxfvQv9nW4yvAHjrxg,https://drive.google.com/file/d/1R00mKyh4ktQ0cZRxfvQv9nW4yvAHjrxg/view,ประชามติ 7.pdf,no-forms,,,,0
