"priority","province","district","election_type","delta","mismatch_type","drive_id","drive_url"
"360","อุบลราชธานี","7","party_list","-360","medium_digit_parse_error","16hUZhXo2517w-72EnVv0rYpkeOlqQ7_s","https://drive.google.com/file/d/16hUZhXo2517w-72EnVv0rYpkeOlqQ7_s/view"
"349","กาฬสินธุ์","1","party_list","349","medium_digit_parse_error","1VKae75PH9ewqe33kglXKzZdZQf1t2dJo","https://drive.google.com/file/d/1VKae75PH9ewqe33kglXKzZdZQf1t2dJo/view"
"338","ศรีสะเกษ","7","party_list","-338","medium_digit_parse_error","1PkRzlAfP6aPnAHn7mSqFLoZPwtF7RSTi","https://drive.google.com/file/d/1PkRzlAfP6aPnAHn7mSqFLoZPwtF7RSTi/view"
"260","สุราษฎร์ธานี","4","party_list","260","medium_digit_parse_error","14rlLfimeAkhgDAP6dERIF1Xh4sxyqTpB","https://drive.google.com/file/d/14rlLfimeAkhgDAP6dERIF1Xh4sxyqTpB/view"
"232","ปราจีนบุรี","3","party_list","-232","medium_digit_parse_error","1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC","https://drive.google.com/file/d/1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC/view"
"190","ขอนแก่น","3","party_list","190","medium_digit_parse_error","16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS","https://drive.google.com/file/d/16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS/view"
"171","อุทัยธานี","1","party_list","-171","medium_digit_parse_error","14EWe6kmIMSYqtDLu6JUQYColK1iqbM61","https://drive.google.com/file/d/14EWe6kmIMSYqtDLu6JUQYColK1iqbM61/view"
"170","สงขลา","4","party_list","-170","medium_digit_parse_error","1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1","https://drive.google.com/file/d/1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1/view"
"132","น่าน","3","party_list","-132","medium_digit_parse_error","1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj","https://drive.google.com/file/d/1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj/view"
"122","ชัยภูมิ","1","party_list","122","medium_digit_parse_error","1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o","https://drive.google.com/file/d/1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o/view"
"107","เชียงใหม่","5","party_list","-107","medium_digit_parse_error","13v3hfBdvYyH5DEi2oyBlMk01294puZa8","https://drive.google.com/file/d/13v3hfBdvYyH5DEi2oyBlMk01294puZa8/view"
"106","กรุงเทพมหานคร","28","party_list","-106","medium_digit_parse_error","1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW","https://drive.google.com/file/d/1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW/view"
"102","ยโสธร","2","party_list","-102","medium_digit_parse_error","1_3dCeVrcsmSIH9JdzPl6MVV-H5k3cMJo","https://drive.google.com/file/d/1_3dCeVrcsmSIH9JdzPl6MVV-H5k3cMJo/view"
"100","กรุงเทพมหานคร","33","constituency","100","medium_digit_parse_error","1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI","https://drive.google.com/file/d/1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI/view"
"100","กำแพงเพชร","2","party_list","100","medium_digit_parse_error","1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp","https://drive.google.com/file/d/1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp/view"
"100","ตราด","1","party_list","100","medium_digit_parse_error","1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo","https://drive.google.com/file/d/1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo/view"
